loss,accuracy
180.6020,0.0000
128.1936,0.0000
72.7437,0.0000
48.8743,0.0078
30.1056,0.0000
19.5663,0.0000
14.5175,0.0000
11.6385,0.0000
9.6245,0.0039
8.6910,0.0000
7.6056,0.0078
7.1827,0.0078
7.1141,0.0078
6.9731,0.0000
6.6395,0.0078
6.6381,0.0117
6.5097,0.0039
6.5793,0.0000
6.3649,0.0000
6.4170,0.0039
6.3060,0.0039
6.3441,0.0039
6.2346,0.0039
6.2009,0.0195
6.1628,0.0078
6.2570,0.0078
6.0116,0.0039
5.8639,0.0039
5.9696,0.0078
5.9709,0.0000
6.0183,0.0039
5.9965,0.0078
5.8863,0.0078
5.8048,0.0078
5.9230,0.0078
5.7801,0.0117
5.6550,0.0117
5.7630,0.0039
5.5667,0.0117
5.5772,0.0117
5.6942,0.0039
5.5283,0.0039
5.5662,0.0078
5.5177,0.0078
5.4584,0.0039
5.5556,0.0000
5.4270,0.0000
5.3659,0.0312
5.5016,0.0117
5.4277,0.0078
5.4105,0.0117
5.4347,0.0156
5.4094,0.0195
5.4592,0.0117
5.2934,0.0039
5.2860,0.0117
5.4135,0.0078
5.3998,0.0039
5.3159,0.0078
5.3209,0.0156
5.3188,0.0195
5.3316,0.0234
5.2747,0.0117
5.3410,0.0039
5.3093,0.0078
5.2577,0.0078
5.4606,0.0039
5.2828,0.0039
5.3684,0.0078
5.3739,0.0078
5.2391,0.0234
5.3704,0.0234
5.3435,0.0039
5.3345,0.0156
5.4071,0.0078
5.1768,0.0117
5.3006,0.0039
5.3353,0.0039
5.2443,0.0352
5.2921,0.0117
5.1427,0.0312
5.3141,0.0195
5.3442,0.0117
5.2849,0.0117
5.3649,0.0039
5.2149,0.0234
5.1945,0.0078
5.3036,0.0078
5.2257,0.0117
5.3642,0.0195
5.2204,0.0234
5.1978,0.0078
5.2957,0.0156
5.2879,0.0117
5.2205,0.0195
5.3578,0.0117
5.1180,0.0469
5.2890,0.0156
5.2066,0.0312
5.2998,0.0195
5.1988,0.0156
5.3143,0.0195
5.2986,0.0078
5.1802,0.0273
5.1572,0.0273
5.2367,0.0156
5.2313,0.0195
5.2653,0.0156
5.2450,0.0000
5.2938,0.0234
5.1540,0.0195
5.2098,0.0195
5.2939,0.0234
5.1476,0.0195
5.1977,0.0156
5.1592,0.0078
5.1799,0.0234
5.1625,0.0312
5.1915,0.0117
5.2162,0.0156
5.1322,0.0312
5.1597,0.0234
5.1716,0.0273
5.1725,0.0117
5.3098,0.0273
5.2305,0.0312
5.2085,0.0273
5.2095,0.0117
5.2106,0.0039
5.2674,0.0195
5.2409,0.0078
5.1840,0.0156
5.2796,0.0234
5.2088,0.0156
5.2136,0.0195
5.1467,0.0352
5.2404,0.0195
5.1766,0.0273
5.1394,0.0352
5.1322,0.0078
5.1995,0.0195
5.1946,0.0391
5.0686,0.0156
5.0893,0.0469
5.1618,0.0352
5.2855,0.0195
5.1376,0.0312
5.3638,0.0117
5.0986,0.0195
5.1683,0.0352
5.0674,0.0430
5.1530,0.0234
5.2300,0.0156
5.2640,0.0117
5.1923,0.0195
5.2456,0.0234
5.1969,0.0195
5.1966,0.0195
4.9660,0.0312
5.2297,0.0312
5.2267,0.0234
5.2651,0.0195
5.1823,0.0234
5.0509,0.0195
5.2020,0.0430
5.1309,0.0352
5.1402,0.0195
5.0871,0.0352
5.0471,0.0312
5.0388,0.0234
5.2336,0.0156
5.1925,0.0234
5.1973,0.0195
5.0431,0.0352
5.2259,0.0156
5.2394,0.0391
5.1509,0.0234
5.1319,0.0156
5.1653,0.0195
5.2098,0.0156
5.2039,0.0273
5.0533,0.0508
5.1807,0.0273
5.2875,0.0234
5.2438,0.0312
5.1564,0.0195
5.1595,0.0234
5.2169,0.0273
5.0366,0.0195
5.1710,0.0195
5.1616,0.0273
5.1386,0.0312
5.0244,0.0117
5.2956,0.0352
5.1151,0.0352
5.1680,0.0234
5.3061,0.0195
5.1821,0.0273
5.1563,0.0234
